Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma/Myanmar,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Central African Rep,Chad,Chile,China,Colombia,Comoros,Congo,Costa Rica,Cote D'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,D R Congo,Denmark,Djibouti,Dominican Republic,East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,Norway,Oman,Pakistan,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Trinidad/Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Country
1.4897996,1.1508912,1.11135,1.0892256,0.9680605,1.0471631,1.1255771,1.1275154,1.1348084,1.1434333,0.96254104,1.2362281,1.2434106,1.2181983,1.2406315,1.0310403,1.1840473,1.0913044,0.94191545,1.3584883,1.0406985,1.1084801,1.0498435,0.9761389,1.0054011,1.0003331,1.033434,1.3376441,0.98438066,1.2188369,1.0936767,1.1653483,1.1860601,1.1331183,1.0834545,1.0190095,1.1038325,1.0830497,1.1157888,1.2319262,1.0310408,1.0197301,0.9463467,0.9997916,1.0142609,1.1974072,1.1374205,0.8388568,1.2658758,1.0540206,1.1731324,1.2707008,0.96328425,1.1567477,1.1959456,1.2537727,1.0617181,1.0522631,1.0889515,1.2012639,1.1300845,1.2765514,1.132168,1.3091849,1.1150444,0.92885906,1.018735,1.2323534,1.111302,0.9315238,1.217706,1.0711704,1.1129231,1.1093246,1.1302962,1.1813397,1.1121819,0.9218448,1.1204484,1.0984405,1.1096958,0.9947168,1.2426816,1.2123611,1.0599004,0.914089,1.0985681,1.2559038,1.08257,0.98326993,1.2429612,1.1661103,1.2528877,1.158545,1.1815431,1.1926242,1.0704957,1.1710668,1.0728952,0.9453195,1.0925897,1.2505606,0.87748146,1.128751,1.2139251,1.1179554,1.1653758,1.0956821,1.1148014,1.2199281,1.2953769,1.1248319,1.2372546,1.134273,1.2166915,1.012013,1.103966,1.3207821,0.8590954,1.264059,1.1001763,1.1867951,0.98409295,0.91960907,1.1342686,1.338432,0.9865407,1.0767493,1.0083641,1.0877705,0.98601323,1.008334,1.0483329,1.0397158,1.099008,1.308676,1.0576733,1.4158213,1.0063868,0.99596274,1.1155236,1.143765,1.1693795,1.4236087,1.0715714,0.855225,1.1276864,1.0673431,1.0390466,0.9788704,1.0878128,1.4054455,1.185438,1.2376673,0.96590275,1.1529859,1.3024238,1.0450292,1.1591163,1.0798187,1.0456805,1.1988608,1.2309197,1.0873948,1.2594934,1.0414516,1.0910295,1.20827,1.051141,1.0897452,1.1527191,1.0020813,1.0133653,1.2074966,1.3510206,1.0890158,Afghanistan
1.25146,1.4381385,1.1191303,1.1168436,0.94841766,1.0789466,1.1598579,1.1307795,1.0799212,1.1598076,0.95148927,1.3172314,1.304906,1.1822957,1.2194347,1.06816,1.162033,1.0769374,0.95040536,1.2590162,1.004052,1.0964504,1.0714879,1.0013812,0.96336865,0.98317385,1.0410706,1.3609343,1.0425836,1.2110394,1.0341647,1.3154204,1.176062,1.1280497,1.1043352,1.0505147,1.0113122,1.072964,1.0917284,1.0835,1.017451,0.9300687,0.9285334,1.0090048,1.0425434,1.1814772,1.2066826,0.864937,1.3596096,1.0569301,1.2097262,1.2797141,1.0127068,1.1362058,1.1982099,1.352118,0.95307624,1.0118817,1.1173263,1.3120779,1.2378466,1.2441005,1.1221422,1.5239348,1.0581757,0.9302485,0.9793949,1.2973818,1.1032141,0.89862883,1.2162876,1.0750145,1.1354461,1.0388486,1.2309532,1.0801175,1.1032827,0.9702963,1.1733,1.1092174,1.1119076,0.96839106,1.2803179,1.1157107,1.110737,0.7858614,1.0066891,1.3096898,0.9668725,0.9203709,1.2380048,1.2504712,1.3018584,1.2428533,1.2278084,1.1673646,1.0604379,1.2031703,1.1755646,0.9013049,1.1017076,1.2792459,0.9010517,1.0495266,1.1377065,1.1071094,1.1369898,1.1073261,1.0520401,1.2815481,1.2730389,1.3131438,1.2254492,1.1121742,1.1819736,1.0018102,1.0947897,1.2742903,0.7491139,1.3067404,1.1234078,1.1674255,0.9474641,0.9454784,1.0875884,1.4019465,0.9709867,1.159995,0.9729983,1.0570155,0.9797752,0.9694517,1.0363079,1.0304195,1.0751227,1.4709839,1.0403993,1.561304,0.94304895,0.95007867,1.1214497,1.1025578,1.2101858,1.3606126,1.0984443,0.79510486,1.1961244,0.9987821,1.0642531,1.0405394,1.1263323,1.4656458,1.1712692,1.245874,0.8739929,1.2664181,1.401938,1.1203172,1.139693,1.1453204,0.9909389,1.1881193,1.1375933,1.1886157,1.2461642,1.0017906,1.1496005,1.2527052,1.0781047,1.0447717,1.0891234,0.9973314,1.0264597,1.302281,1.3635802,1.1919272,Albania
1.1747932,1.0548635,1.4733286,1.1634043,0.92236173,0.9766476,1.1790819,1.169927,0.94534504,1.1096026,0.99111325,1.0457171,1.2342051,1.2068954,1.1895517,1.1389877,1.1472547,1.0392946,0.9460039,1.154018,1.0986748,1.0652925,1.039299,0.9452491,1.0028795,0.9839645,1.0541699,1.1689172,1.0982665,1.2206019,0.998219,1.3923271,1.2343216,1.0785557,1.1559725,1.0448983,1.018234,1.1001114,1.1242875,1.1857339,1.01691,0.9938096,0.8915891,0.9966315,1.0403905,1.1351455,1.3558351,0.88993955,1.1371173,1.0492843,1.1063367,1.2592837,1.067608,1.2117466,1.1469419,1.1708218,1.0462866,0.98736095,1.1237632,1.1796045,1.2963789,1.0304533,1.1234431,1.1330605,1.0501391,0.94947463,0.99352574,1.3924658,1.0367107,1.019523,1.4304752,1.016394,0.99301594,1.0643456,1.0531569,1.1446115,1.1531243,1.1136694,1.1588893,1.1038568,1.0059187,0.9693782,1.3037086,1.148932,1.0029668,0.92946583,0.9762369,1.1248152,0.97942585,0.96627,1.2951348,1.0064006,1.0063376,1.2186103,1.1025805,1.0906159,1.0322117,1.1751733,0.96946347,0.9983906,1.116947,1.007372,0.9928876,1.1008865,1.2610674,1.1218356,1.0913932,1.1343467,1.058321,1.2126473,1.1502277,1.0264214,1.026645,1.117757,1.1285065,1.1429839,0.9846876,1.2394022,0.93767893,1.1110072,1.2303455,1.1104724,1.0241983,0.95480126,0.92360497,0.9674583,0.97955287,1.061399,0.98926216,1.1246742,1.0113248,0.96182597,1.1560647,0.96728617,1.0696629,1.2183979,0.9905082,1.0313549,0.9798671,0.99960434,0.9633708,0.99527764,1.0751356,1.2083268,1.1381941,0.8466657,1.1826442,1.175238,1.1369978,0.8496072,0.9712913,1.1588432,1.1293925,1.2618196,0.970078,1.0677885,1.065447,1.1392745,1.0913854,1.1919193,1.0924659,1.2159957,1.1371685,1.0220056,1.1581242,1.0247506,1.144158,1.2010732,1.1107157,0.9852451,1.1084023,1.0228345,1.008894,1.1997099,1.060521,0.9322502,Algeria
0.88009167,0.83127856,0.76552624,1.4096524,0.7527263,0.8033566,0.85407865,0.8795128,0.7966679,0.89410067,0.92632073,0.7034819,0.86910594,0.8579778,0.8058117,1.0201122,1.0311126,0.8371084,0.8635896,0.8277954,0.94352776,0.8500614,0.8956669,0.8334529,0.9206315,0.8705973,1.0010666,0.9479965,1.1263794,0.73358357,0.87669104,1.4201188,1.0974501,0.82176334,0.8434011,0.78275603,0.86937886,1.0263995,0.732888,0.8978691,0.9126056,0.82067883,0.7693488,0.8054894,1.0576758,0.9105784,1.4115726,0.7737458,0.9347648,0.8387174,0.8918635,1.0146925,1.1638819,0.9967648,0.92036766,0.858611,0.94412446,0.8542621,0.7894023,1.1069015,1.1712743,0.8323666,0.82550895,0.91649187,0.8245522,0.91460246,0.8911114,1.3206899,0.75508255,0.8717852,0.9441609,0.8653891,0.798343,0.82081556,0.70414174,0.8622387,0.8444629,0.8996466,0.8726975,0.7994414,0.75605613,0.76447815,0.84341,0.793142,0.7452765,0.97865164,0.9081096,0.8113445,0.83875567,0.8436836,1.0160005,0.7945341,0.9366214,1.1307012,0.7806812,0.96320915,0.82749045,1.0247165,0.79850847,0.8781503,0.8639189,0.9974276,0.8217083,1.0716157,0.8737377,0.84649706,0.94101095,0.96617514,0.7895449,0.87587863,1.174147,0.775837,1.0241709,0.8643695,0.74091643,0.9874267,0.9962182,0.7903094,0.7355813,0.8477657,0.88518345,0.82061917,0.6937763,0.8720439,1.0102669,0.95935446,0.9394634,0.76227325,0.7892456,0.84785104,0.8296135,0.8560248,0.8127637,0.66319585,0.8966503,1.058021,0.8496735,0.9067714,0.77685475,0.8629252,0.77269655,0.94731784,0.89141136,0.8484414,0.80203193,0.855225,0.8748964,0.78735006,1.018851,0.77166456,0.863729,0.91138315,0.8693182,0.9699714,0.841183,0.89260894,0.79829144,0.8400637,1.0326974,0.97310126,0.8955705,0.931943,0.82721126,0.8206742,0.8674045,0.9158298,0.8588921,0.7108371,0.7542325,0.91433245,1.1983706,0.93767476,0.82998365,0.8290826,0.83088404,0.87424135,Angola
1.3107324,1.2311943,1.1672839,1.1325502,1.35973,1.1227396,1.2232686,1.2773544,1.2154927,1.2183158,1.0538845,1.2354114,1.3571267,1.3290843,1.3092562,1.1697425,1.2470316,1.2185287,1.0844351,1.393324,1.1633872,1.2279695,1.1404155,1.0554351,1.0754063,1.024791,1.0779172,1.3824966,1.1198301,1.2659637,1.113413,1.3842254,1.2629869,1.2287738,1.1776026,1.1603675,1.0779591,1.1147143,1.136246,1.2854391,1.1596355,1.0436076,1.05971,1.0379934,1.1036836,1.2698754,1.341373,0.93826556,1.3746827,1.1871595,1.2497834,1.3919009,1.0826465,1.1999936,1.2247369,1.3636403,1.029442,1.1359996,1.2705758,1.2686008,1.25283,1.2889374,1.2533172,1.4951092,1.2194386,1.0130808,1.0707101,1.3067164,1.1610789,0.99694055,1.2581513,1.133956,1.2140875,1.1695209,1.2141645,1.2576343,1.2510304,1.1312728,1.2383336,1.2041463,1.1972228,1.0605991,1.3414189,1.3035692,1.1067772,0.89192355,1.0957199,1.2966121,1.1181928,1.1183075,1.4043745,1.2411563,1.2801385,1.2830493,1.2337245,1.2506053,1.1980604,1.2579226,1.1708223,1.0501966,1.213434,1.267449,1.0447143,1.1402055,1.3627887,1.1828424,1.1925229,1.2176943,1.0996538,1.3318496,1.3656787,1.2224917,1.2608744,1.1612394,1.2718251,1.1005297,1.0468628,1.3123916,0.859009,1.403493,1.1776422,1.2693989,1.034555,1.1435518,1.1049289,1.3911545,1.0897224,1.1741213,1.119952,1.2034595,1.083891,1.0588977,1.1782448,1.0035834,1.1223953,1.4896978,1.1065185,1.4758728,1.0965067,1.0012952,1.2150929,1.2048864,1.2289947,1.5293021,1.1449993,0.83710515,1.2581229,1.1478231,1.1265419,1.0258057,1.1249517,1.4519726,1.2798661,1.3156561,1.067646,1.2678586,1.2950298,1.2308811,1.2493558,1.2256227,1.1336935,1.2919729,1.2871518,1.2487733,1.324395,1.1111323,1.1919196,1.2412456,1.1198719,1.1745567,1.0321355,1.1037678,1.1446497,1.2040601,1.3228532,1.1359948,Argentina
1.3262519,1.221322,1.1297084,1.2237617,0.988662,1.3631546,1.1866409,1.1632521,1.2046444,1.146179,1.0656738,1.2084842,1.3415072,1.21399,1.2590009,1.1362746,1.2517989,1.113875,1.1026503,1.2885675,1.1217191,1.1588967,1.0731115,1.0169513,1.0676031,0.9797503,1.0908755,1.3568852,1.0828245,1.1851158,1.045303,1.4106826,1.2721916,1.1553271,1.0584167,1.1421556,1.0427449,1.144297,1.1119932,1.1786987,1.1485236,1.0263877,0.95958334,1.0340902,1.1658814,1.2633041,1.3758633,0.97756046,1.3359858,1.1450024,1.2129904,1.380044,1.0903252,1.2348144,1.2573993,1.3333917,1.093552,1.0612307,1.1545477,1.2759863,1.2484733,1.2247765,1.1404687,1.4716382,1.160079,0.96510863,1.1371467,1.3764278,1.171279,1.0361934,1.2341063,1.1120406,1.0845121,1.0629056,1.2016586,1.1998816,1.1181844,1.1098014,1.166384,1.1143447,1.1726022,0.9902416,1.2864721,1.2279954,1.0567291,0.76219475,1.0591958,1.3605207,1.0666677,1.004547,1.39731,1.2681267,1.3063275,1.3138912,1.1616462,1.2122247,1.1456628,1.3065822,1.1408361,1.0185496,1.166153,1.2402109,0.98962826,1.1110611,1.3794494,1.1142857,1.1704446,1.2062534,1.0990592,1.2313087,1.2967786,1.237617,1.2985995,1.1397601,1.1536667,1.066406,1.1029422,1.3016022,0.90879095,1.2316252,1.1515814,1.2283667,0.9594211,1.0348512,1.162143,1.3199755,1.0720403,1.1268237,1.0515743,1.1410539,1.0393769,1.0267723,1.127227,1.0551571,1.0862715,1.3842425,1.1342213,1.4363992,1.0130335,0.95790184,1.1512339,1.2026659,1.2110883,1.318967,1.1153395,0.8432263,1.2287023,1.1139634,1.1112622,1.048322,1.1605316,1.3134549,1.2488643,1.2524922,1.0416158,1.2151611,1.3795696,1.2025132,1.2284852,1.2204951,1.0513768,1.2202548,1.1834636,1.2272444,1.3340304,1.0238256,1.1167228,1.191703,1.0755806,1.1290199,1.121295,1.1083685,1.0609521,1.1786232,1.318336,1.185796,Armenia
1.288409,1.1365889,1.2924759,1.1991585,1.0874741,1.114646,1.4694619,1.3363694,1.3576112,1.1485637,1.0228018,1.3956506,1.3929958,1.3837361,1.3277564,1.1037685,1.2295063,1.1486428,1.0636758,1.5078443,1.1262065,1.221677,1.1777207,1.0172397,1.053387,1.1894547,1.0992113,1.541467,1.0114657,1.4888183,1.09552,1.4130678,1.2052357,1.2816637,1.2564852,1.2097076,1.1343101,1.0893831,1.3902229,1.31835,1.1368519,1.0444305,0.98491055,1.2249719,1.2282372,1.2735796,1.239726,0.9046271,1.394544,1.0939549,1.2792132,1.3527875,1.09222,1.20441,1.369556,1.5456191,1.1851165,1.1753899,1.3321916,1.2844484,1.3537158,1.4540008,1.3593395,1.5717577,1.2374121,0.9615362,1.0844644,1.2649395,1.2877705,1.2721773,1.3482347,1.2115262,1.2080289,1.2100877,1.3173251,1.2233771,1.3033051,1.1792061,1.2689123,1.2879059,1.1812962,1.1945338,1.3790565,1.3083565,1.2384025,1.166933,1.100119,1.4769446,1.1052563,1.0540531,1.4788902,1.3205825,1.2449857,1.1656358,1.4297241,1.2477511,1.1160454,1.289273,1.2538248,1.0686151,1.1776636,1.3341907,1.0353799,1.2013313,1.4164225,1.2018936,1.2860451,1.2512904,1.2018412,1.3291008,1.3259573,1.449598,1.2819911,1.3654935,1.4450489,1.2032351,1.0107075,1.5714555,0.8374123,1.4461975,1.2875065,1.2483544,1.061551,0.9533119,1.1459883,1.461458,1.0676053,1.2478365,1.1186525,1.252311,1.028271,1.0902792,1.2304074,1.2315582,1.1312143,1.4927994,1.1241037,1.5586182,1.1128181,1.0674512,1.2454395,1.2267702,1.1330776,1.5784932,1.2929153,0.8865384,1.3413392,1.1881226,1.0780542,1.1067926,1.2334188,1.6956385,1.1748164,1.4572514,0.9457016,1.3057805,1.4216799,1.1796564,1.1845728,1.1515559,1.1230037,1.301251,1.2703837,1.341816,1.4431878,1.1165628,1.4097308,1.571841,1.2424184,1.1998733,1.107033,1.1283243,1.120566,1.295198,1.4707265,1.1007228,Australia
1.169233,1.1059896,1.222903,1.2153442,1.101296,1.0869322,1.311296,1.5000453,1.2288266,1.191207,1.066826,1.2261753,1.3396255,1.2026712,1.3788474,1.1637022,1.1557385,1.1980596,1.0533118,1.3372929,1.1334492,1.1452991,1.0955619,1.0478463,1.1646066,1.1055964,1.0758015,1.3885189,1.1166509,1.3937526,1.0441725,1.3944703,1.1855503,1.2339138,1.2373431,1.2109984,1.0621482,1.1308008,1.2957467,1.4021591,1.1067919,0.9847138,0.96912056,1.1124719,1.2902501,1.2216002,1.2774724,0.91055477,1.3257358,1.151265,1.1915236,1.2683235,1.1958848,1.1164869,1.3161614,1.3737268,1.1157618,1.207481,1.3499173,1.1679813,1.2956944,1.4048847,1.3422514,1.4555144,1.1713156,0.96521235,1.040965,1.3432633,1.1877071,1.1449735,1.3014448,1.1977891,1.2170479,1.1552058,1.2399272,1.1999246,1.2498671,1.2165704,1.2198001,1.2556583,1.1746454,1.1251955,1.3364062,1.3035622,1.1364018,1.151526,1.0331182,1.4002517,1.0542214,1.1280367,1.3600502,1.2069627,1.1730855,1.167582,1.3998762,1.3013331,1.0563114,1.2833314,1.1796459,1.0560352,1.1650238,1.292907,1.1143165,1.1169903,1.3174081,1.2093772,1.2091246,1.19345,1.1144975,1.2943584,1.3581829,1.3901844,1.2060617,1.2518333,1.3888932,1.179268,1.0733188,1.4344851,0.81090575,1.4519053,1.190052,1.2173083,1.0161694,1.0238179,1.0730346,1.4196311,1.026216,1.2173887,1.1583797,1.255864,1.0041676,1.0300176,1.2047877,1.1848869,1.091028,1.5005611,1.1026623,1.4369239,1.0658047,1.1173276,1.2235804,1.1797184,1.0651445,1.5472004,1.2583894,0.8669181,1.3533876,1.152291,1.0758505,1.008302,1.1448644,1.6122439,1.1605924,1.3595064,0.957105,1.3153385,1.2942479,1.1669368,1.1681325,1.1815183,1.1372964,1.303366,1.3339835,1.158038,1.3382939,1.0529095,1.3938493,1.4492334,1.2296971,1.0249835,1.0858501,1.0297921,1.1128343,1.2246237,1.3166912,1.0828145,Austria
1.2030162,1.0822538,1.2161493,1.1060995,1.0308077,1.070983,1.2062094,1.169002,1.4373076,1.1004691,1.0504307,1.2227505,1.3480064,1.1401856,1.1810068,1.1712129,1.2120596,1.0720196,0.9923746,1.3782765,1.0852708,1.1229628,1.13894,0.98474514,1.0771823,1.047035,1.1134218,1.3987753,1.153031,1.1718369,0.92704844,1.309578,1.2580411,1.1297245,1.0741438,1.0751026,1.1041166,1.1185259,1.2654376,1.218442,1.1411905,0.99864703,0.9548499,0.9999727,1.0983046,1.1750842,1.2745059,0.9029787,1.2932115,1.0425916,1.1663454,1.3106405,1.0454174,1.0490696,1.1185089,1.3744484,1.0864745,1.0608963,1.1355126,1.2155858,1.1344962,1.235281,1.1508545,1.3841265,1.0547279,0.959706,1.0562913,1.2626634,1.1336005,1.1397372,1.1755705,1.0986993,1.0776609,1.0833055,1.1988118,1.1372329,1.1319743,1.0734452,1.1738646,1.1600386,1.1470338,1.045714,1.271055,1.255242,1.0676702,1.1402994,1.0521897,1.2940533,1.0621883,0.99450815,1.3476875,1.1584448,1.182624,1.2108022,1.1976465,1.1651665,1.1093115,1.224789,1.1629897,1.0404764,1.1546799,1.277976,0.96139914,1.1383665,1.261454,1.1214389,1.1991521,1.174282,1.1083502,1.1638161,1.2458606,1.1996207,1.2494564,1.0681865,1.1965448,1.1196113,1.0287788,1.424767,0.8436053,1.2371589,1.231111,1.1705377,0.9689104,1.0100994,1.072185,1.3185612,1.0548965,1.0609527,1.042007,1.0763646,1.0208087,1.0428083,1.1031877,1.0419798,1.0985316,1.333405,1.1037122,1.3777986,1.0543543,0.9801346,1.1050324,1.2411945,1.0182618,1.4858403,1.090358,0.8598435,1.1685055,1.0558555,1.1055894,1.0238578,1.183354,1.415664,1.1947972,1.2662786,0.97239274,1.2490284,1.2575591,1.1871836,1.2051363,1.2000139,1.0602247,1.1780249,1.3184413,1.2021188,1.2165447,1.0984099,1.08084,1.2112635,1.0964484,1.1623787,1.228966,1.0214643,1.0710715,1.1408894,1.2960916,1.102857,Azerbaijan
1.033191,1.0504535,0.9499556,1.075582,0.88878936,0.9420263,0.9686143,0.9850505,1.0192217,1.4022052,1.0066684,0.91512823,1.0307437,1.1096827,1.0517449,1.1314832,1.1003426,0.94269615,0.8609485,1.0349535,1.0833961,1.0052432,1.0402123,0.92992073,1.0476979,0.86861354,1.0728413,1.1340413,1.1180407,0.963372,0.94754034,1.3133395,1.212765,0.9389144,0.9626685,0.91128516,0.9335525,1.0830184,0.92588085,1.0217218,0.97693425,0.8619144,0.88355213,0.8424517,1.087103,1.1111594,1.2845222,0.8840968,1.1409733,0.96832544,1.0650198,1.1492383,1.0669875,0.97287875,1.0612253,1.0724515,0.9305357,0.96279806,0.97325,1.1433159,1.0415075,1.0338595,0.9906504,1.1760906,0.9761118,0.9251492,1.0054668,1.2771031,0.9626065,0.8061494,1.0334675,0.93116784,0.9262486,0.9221004,0.90325224,1.1036787,0.92483443,0.95308596,1.0812248,0.88444436,0.9443272,0.8420491,1.0067211,0.97536695,0.8627812,0.74517745,0.9900548,0.99649537,0.91731507,0.9503911,1.1182289,0.94087327,1.1605295,1.1790061,0.9396933,1.0920519,1.0405729,1.2110119,0.9295409,0.8922114,1.0523636,1.0607903,0.8916742,1.0277519,1.1366471,1.0088595,1.0258125,1.0378559,0.8936271,1.0426201,1.2057636,0.91912884,1.1388193,0.96539825,0.9105875,0.9910291,1.0907682,0.9621522,0.8150721,1.0495472,0.9716553,1.0188568,0.8584922,0.93945295,1.1099786,1.2248346,1.0188315,0.8856978,0.9420326,1.0009259,0.92746395,0.9123645,0.98083824,0.7812247,0.95620906,1.2777498,0.98963356,1.1532862,0.9420911,0.85527986,1.0116954,1.1442072,1.1042035,1.0476894,0.8579217,0.8652386,1.0046697,0.94448125,1.0758479,0.93292606,1.0169446,1.0759115,1.082759,1.1519703,0.9738031,0.9554338,1.0673854,1.0664265,1.2055868,1.1335627,0.9969779,1.1014043,0.98262113,0.9909246,0.9788728,0.8919567,0.96601784,0.8898979,0.92123175,1.0436182,1.1403804,0.983969,0.8836313,0.9191079,1.0405912,0.9916536,Bahamas
